"prname","date","numdeaths","numtotal","numrecover"
"Ontario","31-01-2020",0,3,NA
"British Columbia","31-01-2020",0,1,NA
"Canada","31-01-2020",0,4,NA
"Ontario","08-02-2020",0,3,NA
"British Columbia","08-02-2020",0,4,NA
"Canada","08-02-2020",0,7,NA
"Ontario","16-02-2020",0,3,NA
"British Columbia","16-02-2020",0,5,NA
"Canada","16-02-2020",0,8,NA
"Ontario","21-02-2020",0,3,NA
"British Columbia","21-02-2020",0,6,NA
"Canada","21-02-2020",0,9,NA
"Ontario","24-02-2020",0,4,NA
"British Columbia","24-02-2020",0,6,NA
"Canada","24-02-2020",0,10,NA
"Ontario","25-02-2020",0,4,NA
"British Columbia","25-02-2020",0,7,NA
"Canada","25-02-2020",0,11,NA
"Ontario","26-02-2020",0,5,NA
"British Columbia","26-02-2020",0,7,NA
"Canada","26-02-2020",0,12,NA
"Ontario","27-02-2020",0,6,NA
"British Columbia","27-02-2020",0,7,NA
"Canada","27-02-2020",0,13,NA
"Ontario","29-02-2020",0,8,NA
"British Columbia","29-02-2020",0,7,NA
"Canada","29-02-2020",0,15,NA
"Ontario","01-03-2020",0,15,NA
"British Columbia","01-03-2020",0,8,NA
"Quebec","01-03-2020",0,1,NA
"Canada","01-03-2020",0,24,NA
"Ontario","03-03-2020",0,20,NA
"British Columbia","03-03-2020",0,12,NA
"Quebec","03-03-2020",0,1,NA
"Canada","03-03-2020",0,33,NA
"Ontario","05-03-2020",0,22,NA
"British Columbia","05-03-2020",0,21,NA
"Quebec","05-03-2020",0,2,NA
"Canada","05-03-2020",0,45,NA
"Ontario","06-03-2020",0,28,NA
"British Columbia","06-03-2020",0,21,NA
"Quebec","06-03-2020",0,2,NA
"Canada","06-03-2020",0,51,NA
"Ontario","07-03-2020",0,28,NA
"British Columbia","07-03-2020",0,27,NA
"Quebec","07-03-2020",0,2,NA
"Canada","07-03-2020",0,57,NA
"Ontario","08-03-2020",0,31,NA
"British Columbia","08-03-2020",1,27,NA
"Quebec","08-03-2020",0,3,NA
"Alberta","08-03-2020",0,1,NA
"Canada","08-03-2020",1,62,NA
"Ontario","09-03-2020",0,34,NA
"British Columbia","09-03-2020",1,32,NA
"Quebec","09-03-2020",0,4,NA
"Alberta","09-03-2020",0,7,NA
"Canada","09-03-2020",1,77,NA
"British Columbia","11-03-2020",1,39,NA
"Alberta","11-03-2020",0,14,NA
"Saskatchewan","11-03-2020",0,0,NA
"Manitoba","11-03-2020",0,0,NA
"Ontario","11-03-2020",1,42,NA
"Quebec","11-03-2020",0,7,NA
"New Brunswick","11-03-2020",0,0,NA
"Newfoundland and Labrador","11-03-2020",0,0,NA
"Nova Scotia","11-03-2020",0,0,NA
"Prince Edward Island","11-03-2020",0,0,NA
"Northwest Territories","11-03-2020",0,0,NA
"Nunavut","11-03-2020",0,0,NA
"Yukon","11-03-2020",0,0,NA
"Repatriated travellers","11-03-2020",0,1,NA
"Canada","11-03-2020",2,103,NA
"British Columbia","12-03-2020",1,46,NA
"Alberta","12-03-2020",0,19,NA
"Saskatchewan","12-03-2020",0,1,NA
"Manitoba","12-03-2020",0,1,NA
"Ontario","12-03-2020",1,59,NA
"Quebec","12-03-2020",0,13,NA
"Newfoundland and Labrador","12-03-2020",0,0,NA
"New Brunswick","12-03-2020",0,1,NA
"Nova Scotia","12-03-2020",0,0,NA
"Prince Edward Island","12-03-2020",0,0,NA
"Yukon","12-03-2020",0,0,NA
"Northwest Territories","12-03-2020",0,0,NA
"Nunavut","12-03-2020",0,0,NA
"Repatriated travellers","12-03-2020",0,1,NA
"Canada","12-03-2020",2,141,NA
"British Columbia","13-03-2020",1,53,NA
"Alberta","13-03-2020",0,23,NA
"Saskatchewan","13-03-2020",0,1,NA
"Manitoba","13-03-2020",0,3,NA
"Ontario","13-03-2020",1,79,NA
"Quebec","13-03-2020",0,17,NA
"Newfoundland and Labrador","13-03-2020",0,0,NA
"New Brunswick","13-03-2020",0,1,NA
"Nova Scotia","13-03-2020",0,0,NA
"Prince Edward Island","13-03-2020",0,0,NA
"Yukon","13-03-2020",0,0,NA
"Northwest Territories","13-03-2020",0,0,NA
"Nunavut","13-03-2020",0,0,NA
"Repatriated travellers","13-03-2020",0,2,NA
"Canada","13-03-2020",2,179,NA
"British Columbia","14-03-2020",1,64,NA
"Alberta","14-03-2020",0,29,NA
"Saskatchewan","14-03-2020",0,2,NA
"Manitoba","14-03-2020",0,4,NA
"Ontario","14-03-2020",1,79,NA
"Quebec","14-03-2020",0,17,NA
"Newfoundland and Labrador","14-03-2020",0,0,NA
"New Brunswick","14-03-2020",0,2,NA
"Nova Scotia","14-03-2020",0,0,NA
"Prince Edward Island","14-03-2020",0,0,NA
"Yukon","14-03-2020",0,0,NA
"Northwest Territories","14-03-2020",0,0,NA
"Nunavut","14-03-2020",0,0,NA
"Repatriated travellers","14-03-2020",0,2,NA
"Canada","14-03-2020",2,199,NA
"British Columbia","15-03-2020",1,73,NA
"Alberta","15-03-2020",0,39,NA
"Saskatchewan","15-03-2020",0,2,NA
"Manitoba","15-03-2020",0,4,NA
"Ontario","15-03-2020",1,103,NA
"Quebec","15-03-2020",0,24,NA
"Newfoundland and Labrador","15-03-2020",0,1,NA
"New Brunswick","15-03-2020",0,2,NA
"Nova Scotia","15-03-2020",0,0,NA
"Prince Edward Island","15-03-2020",0,1,NA
"Yukon","15-03-2020",0,0,NA
"Northwest Territories","15-03-2020",0,0,NA
"Nunavut","15-03-2020",0,0,NA
"Repatriated travellers","15-03-2020",0,4,NA
"Canada","15-03-2020",2,253,NA
"British Columbia","16-03-2020",4,73,NA
"Alberta","16-03-2020",0,56,NA
"Saskatchewan","16-03-2020",0,6,NA
"Manitoba","16-03-2020",0,7,NA
"Ontario","16-03-2020",1,145,NA
"Quebec","16-03-2020",0,39,NA
"Newfoundland and Labrador","16-03-2020",0,1,NA
"New Brunswick","16-03-2020",0,6,NA
"Nova Scotia","16-03-2020",0,3,NA
"Prince Edward Island","16-03-2020",0,1,NA
"Yukon","16-03-2020",0,0,NA
"Northwest Territories","16-03-2020",0,0,NA
"Nunavut","16-03-2020",0,0,NA
"Repatriated travellers","16-03-2020",0,4,NA
"Canada","16-03-2020",5,341,NA
