province,province_code,region,population,week,cases,deaths,recovered,tested
Alberta,AB,Prairies,4067175,2020-03-09,31,0,0,5247
Alberta,AB,Prairies,4067175,2020-03-16,220,1,0,21752
Alberta,AB,Prairies,4067175,2020-03-23,362,1,73,17098
Alberta,AB,Prairies,4067175,2020-03-30,629,21,341,19218
Alberta,AB,Prairies,4067175,2020-04-06,401,21,121,11394
Alberta,AB,Prairies,4067175,2020-04-13,911,7,1162,22471
Alberta,AB,Prairies,4067175,2020-04-20,1918,22,387,28130
Alberta,AB,Prairies,4067175,2020-04-27,1286,22,1164,26813
Alberta,AB,Prairies,4067175,2020-05-04,487,22,1676,20900
Alberta,AB,Prairies,4067175,2020-05-11,391,10,1064,23286
Alberta,AB,Prairies,4067175,2020-05-18,216,8,471,19859
Alberta,AB,Prairies,4067175,2020-05-25,150,8,359,19247
Alberta,AB,Prairies,4067175,2020-06-01,128,3,373,23616
Alberta,AB,Prairies,4067175,2020-06-08,295,6,205,44881
Alberta,AB,Prairies,4067175,2020-06-15,271,2,157,42040
Alberta,AB,Prairies,4067175,2020-06-22,292,2,304,38068
British Columbia,BC,West Coast,4648055,2020-02-08,3,0,0,0
British Columbia,BC,West Coast,4648055,2020-02-16,1,0,0,0
British Columbia,BC,West Coast,4648055,2020-02-21,1,0,0,0
British Columbia,BC,West Coast,4648055,2020-02-24,2,0,0,0
British Columbia,BC,West Coast,4648055,2020-03-03,19,1,0,0
British Columbia,BC,West Coast,4648055,2020-03-09,39,0,0,7033
British Columbia,BC,West Coast,4648055,2020-03-16,351,9,0,15102
British Columbia,BC,West Coast,4648055,2020-03-23,460,7,396,11341
British Columbia,BC,West Coast,4648055,2020-03-30,319,21,309,8080
British Columbia,BC,West Coast,4648055,2020-04-06,242,20,201,6804
British Columbia,BC,West Coast,4648055,2020-04-13,173,20,61,6418
British Columbia,BC,West Coast,4648055,2020-04-20,330,22,171,9922
British Columbia,BC,West Coast,4648055,2020-04-27,223,14,239,16361
British Columbia,BC,West Coast,4648055,2020-05-04,159,15,283,12370
British Columbia,BC,West Coast,4648055,2020-05-11,98,12,273,9595
British Columbia,BC,West Coast,4648055,2020-05-18,89,16,125,10133
British Columbia,BC,West Coast,4648055,2020-05-25,56,7,124,10134
British Columbia,BC,West Coast,4648055,2020-06-01,59,3,91,9494
British Columbia,BC,West Coast,4648055,2020-06-08,77,1,82,10546
British Columbia,BC,West Coast,4648055,2020-06-15,81,0,90,9235
British Columbia,BC,West Coast,4648055,2020-06-22,88,6,101,10308
Manitoba,MB,Prairies,1278365,2020-03-16,15,0,0,3099
Manitoba,MB,Prairies,1278365,2020-03-23,53,1,1,3940
Manitoba,MB,Prairies,1278365,2020-03-30,131,1,27,4895
Manitoba,MB,Prairies,1278365,2020-04-06,40,2,0,4295
Manitoba,MB,Prairies,1278365,2020-04-13,11,1,143,2568
Manitoba,MB,Prairies,1278365,2020-04-20,18,1,56,2086
Manitoba,MB,Prairies,1278365,2020-04-27,10,0,38,4533
Manitoba,MB,Prairies,1278365,2020-05-04,7,1,10,3793
Manitoba,MB,Prairies,1278365,2020-05-11,3,0,10,3996
Manitoba,MB,Prairies,1278365,2020-05-18,3,0,11,3861
Manitoba,MB,Prairies,1278365,2020-05-25,3,0,10,3675
Manitoba,MB,Prairies,1278365,2020-06-01,5,0,6,5090
Manitoba,MB,Prairies,1278365,2020-06-08,4,0,5,5982
Manitoba,MB,Prairies,1278365,2020-06-15,9,0,4,4197
Manitoba,MB,Prairies,1278365,2020-06-22,9,0,7,4597
New Brunswick,NB,Atlantic,747101,2020-03-16,15,0,0,842
New Brunswick,NB,Atlantic,747101,2020-03-23,49,0,2,1923
New Brunswick,NB,Atlantic,747101,2020-03-30,35,0,48,2574
New Brunswick,NB,Atlantic,747101,2020-04-06,13,0,2,2339
New Brunswick,NB,Atlantic,747101,2020-04-13,4,0,92,2530
New Brunswick,NB,Atlantic,747101,2020-04-20,0,0,19,2235
New Brunswick,NB,Atlantic,747101,2020-04-27,0,0,7,2034
New Brunswick,NB,Atlantic,747101,2020-05-04,2,0,0,2191
New Brunswick,NB,Atlantic,747101,2020-05-11,0,0,2,2260
New Brunswick,NB,Atlantic,747101,2020-05-18,1,0,0,1754
New Brunswick,NB,Atlantic,747101,2020-05-25,11,0,0,3903
New Brunswick,NB,Atlantic,747101,2020-06-01,5,1,1,6778
New Brunswick,NB,Atlantic,747101,2020-06-08,20,1,8,2509
New Brunswick,NB,Atlantic,747101,2020-06-15,7,0,6,2421
New Brunswick,NB,Atlantic,747101,2020-06-22,1,0,23,1544
Newfoundland and Labrador,NL,Atlantic,519716,2020-03-16,8,0,0,237
Newfoundland and Labrador,NL,Atlantic,519716,2020-03-23,126,0,4,1808
Newfoundland and Labrador,NL,Atlantic,519716,2020-03-30,82,1,17,1449
Newfoundland and Labrador,NL,Atlantic,519716,2020-04-06,25,2,21,1256
Newfoundland and Labrador,NL,Atlantic,519716,2020-04-13,15,0,191,1529
Newfoundland and Labrador,NL,Atlantic,519716,2020-04-20,2,0,28,1312
Newfoundland and Labrador,NL,Atlantic,519716,2020-04-27,1,0,13,1379
Newfoundland and Labrador,NL,Atlantic,519716,2020-05-04,2,0,12,983
Newfoundland and Labrador,NL,Atlantic,519716,2020-05-11,0,0,5,820
Newfoundland and Labrador,NL,Atlantic,519716,2020-05-18,0,0,5,663
Newfoundland and Labrador,NL,Atlantic,519716,2020-05-25,1,0,1,903
Newfoundland and Labrador,NL,Atlantic,519716,2020-06-01,0,0,1,1147
Newfoundland and Labrador,NL,Atlantic,519716,2020-06-08,0,0,0,1257
Newfoundland and Labrador,NL,Atlantic,519716,2020-06-15,0,0,2,1368
Newfoundland and Labrador,NL,Atlantic,519716,2020-06-22,0,0,0,1446
Northwest Territories,NT,North,41786,2020-03-16,1,0,0,225
Northwest Territories,NT,North,41786,2020-03-23,0,0,0,439
Northwest Territories,NT,North,41786,2020-03-30,3,0,1,475
Northwest Territories,NT,North,41786,2020-04-06,1,0,0,171
Northwest Territories,NT,North,41786,2020-04-13,0,0,3,90
Northwest Territories,NT,North,41786,2020-04-20,0,0,2,99
Northwest Territories,NT,North,41786,2020-04-27,0,0,0,122
Northwest Territories,NT,North,41786,2020-05-04,0,0,0,102
