date,year,month,day,territory,continent,population,cases,deaths
2020-06-15,2020,6,15,Afghanistan,Asia,37172386,664,20
2020-06-14,2020,6,14,Afghanistan,Asia,37172386,556,5
2020-06-13,2020,6,13,Afghanistan,Asia,37172386,656,20
2020-06-12,2020,6,12,Afghanistan,Asia,37172386,747,21
2020-06-11,2020,6,11,Afghanistan,Asia,37172386,684,21
2020-06-10,2020,6,10,Afghanistan,Asia,37172386,542,15
2020-06-09,2020,6,9,Afghanistan,Asia,37172386,575,12
2020-06-08,2020,6,8,Afghanistan,Asia,37172386,791,30
2020-06-07,2020,6,7,Afghanistan,Asia,37172386,582,18
2020-06-06,2020,6,6,Afghanistan,Asia,37172386,915,9
2020-06-05,2020,6,5,Afghanistan,Asia,37172386,787,6
2020-06-04,2020,6,4,Afghanistan,Asia,37172386,758,24
2020-06-03,2020,6,3,Afghanistan,Asia,37172386,759,5
2020-06-02,2020,6,2,Afghanistan,Asia,37172386,545,8
2020-06-01,2020,6,1,Afghanistan,Asia,37172386,680,8
2020-05-31,2020,5,31,Afghanistan,Asia,37172386,866,3
2020-05-30,2020,5,30,Afghanistan,Asia,37172386,623,11
2020-05-29,2020,5,29,Afghanistan,Asia,37172386,580,8
2020-05-28,2020,5,28,Afghanistan,Asia,37172386,625,7
2020-05-27,2020,5,27,Afghanistan,Asia,37172386,658,1
2020-05-26,2020,5,26,Afghanistan,Asia,37172386,591,1
2020-05-25,2020,5,25,Afghanistan,Asia,37172386,584,2
2020-05-24,2020,5,24,Afghanistan,Asia,37172386,782,11
2020-05-23,2020,5,23,Afghanistan,Asia,37172386,540,12
2020-05-22,2020,5,22,Afghanistan,Asia,37172386,531,6
2020-05-21,2020,5,21,Afghanistan,Asia,37172386,492,9
2020-05-20,2020,5,20,Afghanistan,Asia,37172386,581,5
2020-05-19,2020,5,19,Afghanistan,Asia,37172386,408,4
2020-05-18,2020,5,18,Afghanistan,Asia,37172386,262,1
2020-05-17,2020,5,17,Afghanistan,Asia,37172386,0,0
2020-05-16,2020,5,16,Afghanistan,Asia,37172386,1063,32
2020-05-15,2020,5,15,Afghanistan,Asia,37172386,113,6
2020-05-14,2020,5,14,Afghanistan,Asia,37172386,259,3
2020-05-13,2020,5,13,Afghanistan,Asia,37172386,280,5
2020-05-12,2020,5,12,Afghanistan,Asia,37172386,285,2
2020-05-11,2020,5,11,Afghanistan,Asia,37172386,369,5
2020-05-10,2020,5,10,Afghanistan,Asia,37172386,255,6
2020-05-09,2020,5,9,Afghanistan,Asia,37172386,215,3
2020-05-08,2020,5,8,Afghanistan,Asia,37172386,171,2
2020-05-07,2020,5,7,Afghanistan,Asia,37172386,168,9
2020-05-06,2020,5,6,Afghanistan,Asia,37172386,330,5
2020-05-05,2020,5,5,Afghanistan,Asia,37172386,190,5
2020-05-04,2020,5,4,Afghanistan,Asia,37172386,235,13
2020-05-03,2020,5,3,Afghanistan,Asia,37172386,134,4
2020-05-02,2020,5,2,Afghanistan,Asia,37172386,164,4
2020-05-01,2020,5,1,Afghanistan,Asia,37172386,222,4
2020-04-30,2020,4,30,Afghanistan,Asia,37172386,122,0
2020-04-29,2020,4,29,Afghanistan,Asia,37172386,124,3
2020-04-28,2020,4,28,Afghanistan,Asia,37172386,172,0
2020-04-27,2020,4,27,Afghanistan,Asia,37172386,68,10
2020-04-26,2020,4,26,Afghanistan,Asia,37172386,112,4
2020-04-25,2020,4,25,Afghanistan,Asia,37172386,70,1
2020-04-24,2020,4,24,Afghanistan,Asia,37172386,105,2
2020-04-23,2020,4,23,Afghanistan,Asia,37172386,84,4
2020-04-22,2020,4,22,Afghanistan,Asia,37172386,61,1
2020-04-21,2020,4,21,Afghanistan,Asia,37172386,35,2
2020-04-20,2020,4,20,Afghanistan,Asia,37172386,88,3
2020-04-19,2020,4,19,Afghanistan,Asia,37172386,63,0
2020-04-18,2020,4,18,Afghanistan,Asia,37172386,51,1
2020-04-17,2020,4,17,Afghanistan,Asia,37172386,10,4
2020-04-16,2020,4,16,Afghanistan,Asia,37172386,70,2
2020-04-15,2020,4,15,Afghanistan,Asia,37172386,49,2
2020-04-14,2020,4,14,Afghanistan,Asia,37172386,58,3
2020-04-13,2020,4,13,Afghanistan,Asia,37172386,52,0
2020-04-12,2020,4,12,Afghanistan,Asia,37172386,34,3
2020-04-11,2020,4,11,Afghanistan,Asia,37172386,37,0
2020-04-10,2020,4,10,Afghanistan,Asia,37172386,61,1
2020-04-09,2020,4,9,Afghanistan,Asia,37172386,56,3
2020-04-08,2020,4,8,Afghanistan,Asia,37172386,30,4
2020-04-07,2020,4,7,Afghanistan,Asia,37172386,38,0
2020-04-06,2020,4,6,Afghanistan,Asia,37172386,29,2
2020-04-05,2020,4,5,Afghanistan,Asia,37172386,35,1
2020-04-04,2020,4,4,Afghanistan,Asia,37172386,0,0
2020-04-03,2020,4,3,Afghanistan,Asia,37172386,43,0
2020-04-02,2020,4,2,Afghanistan,Asia,37172386,26,0
2020-04-01,2020,4,1,Afghanistan,Asia,37172386,25,0
2020-03-31,2020,3,31,Afghanistan,Asia,37172386,27,0
2020-03-30,2020,3,30,Afghanistan,Asia,37172386,8,1
2020-03-29,2020,3,29,Afghanistan,Asia,37172386,15,1
2020-03-28,2020,3,28,Afghanistan,Asia,37172386,16,1
2020-03-27,2020,3,27,Afghanistan,Asia,37172386,0,0
2020-03-26,2020,3,26,Afghanistan,Asia,37172386,33,0
2020-03-25,2020,3,25,Afghanistan,Asia,37172386,2,0
2020-03-24,2020,3,24,Afghanistan,Asia,37172386,6,1
2020-03-23,2020,3,23,Afghanistan,Asia,37172386,10,0
2020-03-22,2020,3,22,Afghanistan,Asia,37172386,0,0
2020-03-21,2020,3,21,Afghanistan,Asia,37172386,2,0
2020-03-20,2020,3,20,Afghanistan,Asia,37172386,0,0
2020-03-19,2020,3,19,Afghanistan,Asia,37172386,0,0
2020-03-18,2020,3,18,Afghanistan,Asia,37172386,1,0
2020-03-17,2020,3,17,Afghanistan,Asia,37172386,5,0
2020-03-16,2020,3,16,Afghanistan,Asia,37172386,6,0
2020-03-15,2020,3,15,Afghanistan,Asia,37172386,3,0
2020-03-11,2020,3,11,Afghanistan,Asia,37172386,3,0
2020-03-08,2020,3,8,Afghanistan,Asia,37172386,3,0
2020-03-02,2020,3,2,Afghanistan,Asia,37172386,0,0
2020-03-01,2020,3,1,Afghanistan,Asia,37172386,0,0
2020-02-29,2020,2,29,Afghanistan,Asia,37172386,0,0
2020-02-28,2020,2,28,Afghanistan,Asia,37172386,0,0
2020-02-27,2020,2,27,Afghanistan,Asia,37172386,0,0
2020-02-26,2020,2,26,Afghanistan,Asia,37172386,0,0
2020-02-25,2020,2,25,Afghanistan,Asia,37172386,1,0
2020-02-24,2020,2,24,Afghanistan,Asia,37172386,0,0
2020-02-23,2020,2,23,Afghanistan,Asia,37172386,0,0
2020-02-22,2020,2,22,Afghanistan,Asia,37172386,0,0
2020-02-21,2020,2,21,Afghanistan,Asia,37172386,0,0
2020-02-20,2020,2,20,Afghanistan,Asia,37172386,0,0
2020-02-19,2020,2,19,Afghanistan,Asia,37172386,0,0
2020-02-18,2020,2,18,Afghanistan,Asia,37172386,0,0
2020-02-17,2020,2,17,Afghanistan,Asia,37172386,0,0
2020-02-16,2020,2,16,Afghanistan,Asia,37172386,0,0
2020-02-15,2020,2,15,Afghanistan,Asia,37172386,0,0
2020-02-14,2020,2,14,Afghanistan,Asia,37172386,0,0
2020-02-13,2020,2,13,Afghanistan,Asia,37172386,0,0
2020-02-12,2020,2,12,Afghanistan,Asia,37172386,0,0
2020-02-11,2020,2,11,Afghanistan,Asia,37172386,0,0
2020-02-10,2020,2,10,Afghanistan,Asia,37172386,0,0
2020-02-09,2020,2,9,Afghanistan,Asia,37172386,0,0
2020-02-08,2020,2,8,Afghanistan,Asia,37172386,0,0
2020-02-07,2020,2,7,Afghanistan,Asia,37172386,0,0
2020-02-06,2020,2,6,Afghanistan,Asia,37172386,0,0
2020-02-05,2020,2,5,Afghanistan,Asia,37172386,0,0
2020-02-04,2020,2,4,Afghanistan,Asia,37172386,0,0
2020-02-03,2020,2,3,Afghanistan,Asia,37172386,0,0
2020-02-02,2020,2,2,Afghanistan,Asia,37172386,0,0
