year,week,territory,continent,cases,deaths,population
2020,1,Afghanistan,Asia,0,0,37172386
2020,1,Algeria,Africa,0,0,42228429
2020,1,Armenia,Europe,0,0,2951776
2020,1,Australia,Oceania,0,0,24992369
2020,1,Austria,Europe,0,0,8847037
2020,1,Azerbaijan,Europe,0,0,9942334
2020,1,Bahrain,Asia,0,0,1569439
2020,1,Belarus,Europe,0,0,9485386
2020,1,Belgium,Europe,0,0,11422068
2020,1,Brazil,America,0,0,209469333
2020,1,Cambodia,Asia,0,0,16249798
2020,1,Canada,America,0,0,37058856
2020,1,China,Asia,32,0,1392730000
2020,1,Croatia,Europe,0,0,4089400
2020,1,Czechia,Europe,0,0,10625695
2020,1,Denmark,Europe,0,0,5797446
2020,1,Dominican_Republic,America,0,0,10627165
2020,1,Ecuador,America,0,0,17084357
2020,1,Egypt,Africa,0,0,98423595
2020,1,Estonia,Europe,0,0,1320884
2020,1,Finland,Europe,0,0,5518050
2020,1,France,Europe,0,0,66987244
2020,1,Georgia,Europe,0,0,3731000
2020,1,Germany,Europe,0,0,82927922
2020,1,Greece,Europe,0,0,10727668
2020,1,Iceland,Europe,0,0,353574
2020,1,India,Asia,0,0,1352617328
2020,1,Indonesia,Asia,0,0,267663435
2020,1,Iran,Asia,0,0,81800269
2020,1,Iraq,Asia,0,0,38433600
2020,1,Ireland,Europe,0,0,4853506
2020,1,Israel,Asia,0,0,8883800
2020,1,Italy,Europe,0,0,60431283
2020,1,Japan,Asia,0,0,126529100
2020,1,Kuwait,Asia,0,0,4137309
2020,1,Lebanon,Asia,0,0,6848925
2020,1,Lithuania,Europe,0,0,2789533
2020,1,Luxembourg,Europe,0,0,607728
2020,1,Malaysia,Asia,0,0,31528585
2020,1,Mexico,America,0,0,126190788
2020,1,Monaco,Europe,0,0,38682
2020,1,Nepal,Asia,0,0,28087871
2020,1,Netherlands,Europe,0,0,17231017
2020,1,New_Zealand,Oceania,0,0,4885500
2020,1,Nigeria,Africa,0,0,195874740
2020,1,North_Macedonia,Europe,0,0,2082958
2020,1,Norway,Europe,0,0,5314336
2020,1,Oman,Asia,0,0,4829483
2020,1,Pakistan,Asia,0,0,212215030
2020,1,Philippines,Asia,0,0,106651922
2020,1,Qatar,Asia,0,0,2781677
2020,1,Romania,Europe,0,0,19473936
2020,1,Russia,Europe,0,0,144478050
2020,1,San_Marino,Europe,0,0,33785
2020,1,Singapore,Asia,0,0,5638676
2020,1,South_Korea,Asia,0,0,51635256
2020,1,Spain,Europe,0,0,46723749
2020,1,Sri_Lanka,Asia,0,0,21670000
2020,1,Sweden,Europe,0,0,10183175
2020,1,Switzerland,Europe,0,0,8516543
2020,1,Taiwan,Asia,0,0,23780452
2020,1,Thailand,Asia,0,0,69428524
2020,1,United_Arab_Emirates,Asia,0,0,9630959
