https://www.cdc.gov/coronavirus/2019-ncov/covid-data/covidview/index.html,,,,,,,,,,,
NCHS Mortality Surveillance Data,,,,,,,,,,,
"For the Week Ending May 23, 2020 (Week 21)",,,,,,,,,,,
"Data as of May 28, 2020",,,,,,,,,,,
,,,,,,,,,,,
Year,Week,Total Deaths,"Pneumonia, Influenza or COVID-19 Deaths",,Baseline,Threshold,,,,,
,,,Number,% of Total,,,,,,,
2019,40,"52,522","2,729",5.2,5.3,5.7,,,,,
2019,41,"53,013","2,794",5.3,5.4,5.7,,,,,
2019,42,"54,210","3,000",5.5,5.5,5.8,,,,,
2019,43,"53,963","3,023",5.6,5.6,5.9,,,,,
2019,44,"54,027","2,951",5.5,5.7,6.0,,,,,
2019,45,"55,544","3,098",5.6,5.8,6.2,,,,,
2019,46,"55,771","3,137",5.6,5.9,6.3,,,,,
2019,47,"56,084","3,053",5.4,6.0,6.4,,,,,
2019,48,"55,323","3,055",5.5,6.2,6.5,,,,,
2019,49,"57,225","3,422",6.0,6.3,6.6,,,,,
2019,50,"57,579","3,587",6.2,6.4,6.7,,,,,
2019,51,"57,332","3,504",6.1,6.5,6.8,,,,,
2019,52,"58,354","3,725",6.4,6.6,6.9,,,,,
2020,1,"59,700","4,482",7.5,6.7,7.0,,,,,
2020,2,"60,024","4,548",7.6,6.7,7.1,,,,,
2020,3,"58,546","4,440",7.6,6.8,7.2,,,,,
2020,4,"58,012","4,314",7.4,6.9,7.2,,,,,
2020,5,"57,627","4,195",7.3,6.9,7.3,,,,,
2020,6,"58,278","4,227",7.3,7.0,7.3,,,,,
2020,7,"57,616","4,292",7.4,7.0,7.3,,,,,
2020,8,"57,688","4,173",7.2,7.0,7.3,,,,,
2020,9,"58,020","4,370",7.5,7.0,7.3,,,,,
2020,10,"57,793","4,457",7.7,7.0,7.3,,,,,
2020,11,"56,572","4,454",7.9,6.9,7.3,,,,,
2020,12,"57,062","5,192",9.1,6.9,7.2,,,,,
2020,13,"60,766","7,956",13.1,6.8,7.1,,,,,
2020,14,"68,936","14,515",21.1,6.7,7.1,,,,,
2020,15,"74,510","19,936",26.8,6.7,7.0,,,,,
2020,16,"71,120","19,583",27.5,6.6,6.9,,,,,
2020,17,"66,216","16,603",25.1,6.5,6.8,,,,,
2020,18,"59,920","13,245",22.1,6.4,6.7,,,,,
2020,19,"54,395","11,176",20.5,6.3,6.6,,,,,
2020,20,"40,405","6,411",15.9,6.2,6.5,,,,,
2020,21,"14,955","1,464",9.8,6.0,6.4,,,,,
